"sku","name","category","category_label","unit","price","image","hero_image","story","badge","hover_image"
"PP661","6"" Hinged Lid To-go Container Large","hinged-to-go-containers","Hinged To-Go Containers","250 PCS","21.00","/assets/catalog/item-038.png","","","",""
"PP771","7 "" Hinged Lid To-go Container (1 Compartment)","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","20.00","/assets/catalog/item-039.png","","","",""
"PP773","7 "" Hinged Lid To-go Container (3","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","20.00","/assets/catalog/item-040.png","","","",""
"PP881","8 "" Hinged Lid To-go Container","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","22.00","/assets/catalog/item-041.png","","","",""
"PP883","8 "" Hinged Lid To-go Container (3 Compartment)","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","22.00","/assets/catalog/item-042.png","","","",""
"PP883S","8 "" Shallow Lid To-go Container (3 Compartment)","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","22.00","/assets/catalog/item-043.png","","","",""
"PP991","9 "" Hinged Lid To-go Container","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","27.00","/assets/catalog/item-044.png","","","",""
"PP993","9 "" Hinged Lid To-go Container (3 Compartment)","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","27.00","/assets/catalog/item-045.png","","","",""
"PP206","9 ""×6"" Hinged Lid To-go Container","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","22.00","/assets/catalog/item-046.png","","","",""
"PP841","8""×4"" Hinged Lid To-go Container","hinged-to-go-containers","Hinged To-Go Containers","400 PCS","25.00","/assets/catalog/item-047.png","","","",""
"661 Black","6""×6"" One Compartment Hinged Container Black","hinged-to-go-containers","Hinged To-Go Containers","250 PCS","22.00","/assets/catalog/item-048.png","","","",""
"881 Black","8""×8"" One Compartment Hinged Container Black","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","24.00","/assets/catalog/item-049.png","","","",""
"883 Black","8""×8"" Three Compartment Hinged Container Black","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","24.00","/assets/catalog/item-050.png","","","",""
"991 Black","9""×9"" One Compartment Hinged Container Black","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","29.00","/assets/catalog/item-051.png","","","",""
"993 Black","9""×9"" Three Compartment Hinged Container Black","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","29.00","/assets/catalog/item-052.png","","","",""
"206 Black","9""×6"" One Compartment Hinged Container Black","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","24.00","/assets/catalog/item-053.png","","","",""
"ML-BW61","6""×6"" One Compartment Clear & Black Food Container","hinged-to-go-containers","Hinged To-Go Containers","250 PCS","31.00","/assets/catalog/item-054.png","","","",""
"ML-BW81","8""×8"" One Compartment Clear & Black Food Container","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","50.00","/assets/catalog/item-055.png","","","",""
"ML-BW83","8""×8"" Three Compartment Clear & Black Food Container","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","50.00","/assets/catalog/item-056.png","","","",""
"ML-BW91","9""×9"" One Compartment Clear & Black Food Container","hinged-to-go-containers","Hinged To-Go Containers","150 PCS","57.00","/assets/catalog/item-057.png","","","",""
