"sku","name","category","category_label","unit","price","image","hero_image","story","badge","hover_image"
"CP- TFN10000","Tall Fold Napkin 1-PLY 13""×6.7 ""","napkins-paper-towels","Napkins & Paper Towels","10000 PCS","30.00","/assets/catalog/item-163.png","","","",""
"#4700","Multifold Paper Towels Brown 1- ply 9 ""×9""","napkins-paper-towels","Napkins & Paper Towels","4000 PCS","26.00","/assets/catalog/item-164.png","","","",""
"#4863","Interfold Napkins White, 2-Ply","napkins-paper-towels","Napkins & Paper Towels","6000PCS","25.00","/assets/catalog/item-165.png","","","",""
"#4786","Hard Wound Roll Towel 1-Ply, Bleached 8""x600","napkins-paper-towels","Napkins & Paper Towels","12RLS/PCS","42.00","/assets/catalog/item-166.png","","","",""
"MFT-4000","Multifold Paper Towels Brown 1- ply 9 ""×9""","napkins-paper-towels","Napkins & Paper Towels","4000CT/CTN","21.00","/assets/catalog/item-171.png","","","",""
"#4610","Jumbo Roll Tissue 2-Ply 3.5""×1000","napkins-paper-towels","Napkins & Paper Towels","12RLS/PCS","30.00","/assets/catalog/item-172.png","","","",""
"THERMAL PAPER","3 1/8"" x 230' Thermal Paper Roll BPA Free","restroom-gloves-ppe","Restroom, Gloves & PPE","50 PCS","50.00","/assets/catalog/item-160.png","","","",""
"#4500","Toilet Seat Cover 100% Virgin Wood Pulp, Full Size","restroom-gloves-ppe","Restroom, Gloves & PPE","20pk/250pc","32.00","/assets/catalog/item-167.png","","","",""
"#4603","Bathroom Tissue 2-Ply, Embossed","restroom-gloves-ppe","Restroom, Gloves & PPE","4pk/24roll","49.00","/assets/catalog/item-168.png","","","",""
"#4331","Face Mask Ear Loop, 3 ply 99.5% Filtration Black","restroom-gloves-ppe","Restroom, Gloves & PPE","20x50/bx","30.00","/assets/catalog/item-169.png","","","",""
"#4321","Bouffant Cap Non-woven, 21” 1000 Pack White","restroom-gloves-ppe","Restroom, Gloves & PPE","10x100/bg","25.00","/assets/catalog/item-170.png","","","",""
"#6342","Nitrile Disposable Examination Gloves, Small 4MIL","restroom-gloves-ppe","Restroom, Gloves & PPE","100PCS 10BOXE S","43.00","/assets/catalog/item-173.png","","","",""
"#6343","Nitrile Disposable Examination Gloves Medium 4MIL","restroom-gloves-ppe","Restroom, Gloves & PPE","100PCS 10BOXE S","43.00","/assets/catalog/item-174.png","","","",""
"#6344","Nitrile Disposable Examination Gloves Large 4MIL","restroom-gloves-ppe","Restroom, Gloves & PPE","100PCS 10BOXE S","43.00","/assets/catalog/item-175.png","","","",""
"#6345","Nitrile Disposable Examination Gloves Extra Large MIL","restroom-gloves-ppe","Restroom, Gloves & PPE","100PCS 10BOXE S","43.00","/assets/catalog/item-176.png","","","",""
"","Disposable Food Service HDPE Gloves (One Size)","restroom-gloves-ppe","Restroom, Gloves & PPE","100PCS 10BOXE S","13.00","/assets/catalog/item-177.png","","","",""
"#1BAG","S T-SHIRT Carry Out Bags 8""×6""×16"" 12.5 MIC","bags-can-liners","Bags & Can Liners","700BAG S/PCS","13.00","/assets/catalog/item-178.png","","","",""
"#3BAG","M T-SHIRT Carry Out Bags 10.5""×6""×20"" 15 MIC","bags-can-liners","Bags & Can Liners","700BAG S/PCS","15.00","/assets/catalog/item-179.png","","","",""
"#5BAG","L T-SHIRT Carry Out Bags 12""×7""×22"" 17 MIC","bags-can-liners","Bags & Can Liners","400BAG S/PCS","13.00","/assets/catalog/item-180.png","","","",""
"#7BAG","Xl T-SHIRT Carry Out Bags 15""×7""×26"" 17 MIC","bags-can-liners","Bags & Can Liners","400BAG S/PCS","24.00","/assets/catalog/item-181.png","","","",""
"CY-SB8","8 lbs Kraft Paper Bag 6""*4.1""*12.6""","bags-can-liners","Bags & Can Liners","1000PCS/CTN","33.00","/assets/catalog/item-182.png","","","",""
"CY-SB10","10 lbs Kraft Paper Bag 6.3""*4.2""*13.4""","bags-can-liners","Bags & Can Liners","1000PCS/CTN","36.00","/assets/catalog/item-183.png","","","",""
"CY-SB16","16 lbs Kraft Paper Bag 7.7""*4.7""*16""","bags-can-liners","Bags & Can Liners","500PCS/CTN","28.00","/assets/catalog/item-184.png","","","",""
"CY-SB20","20 lbs Kraft Paper Bag 8.2""*5.3""*16.1""","bags-can-liners","Bags & Can Liners","500PCS/CTN","31.00","/assets/catalog/item-185.png","","","",""
"KPB05","#5 Kraft Paper Bag with Twist Handle 10""*6.75""*12""","bags-can-liners","Bags & Can Liners","250PCS/CTN","34.00","/assets/catalog/item-186.png","","","",""
"KPB10","100 #10 Kraft Paper Bag with Twist Handle 13""*7""*13"" 100gms","bags-can-liners","Bags & Can Liners","250PCS/CTN","39.00","/assets/catalog/item-187.png","","","",""
"KPB14","#14 Kraft Paper Bag with Twist Handle 14""*10""*15.5""","bags-can-liners","Bags & Can Liners","250PCS/CTN","54.00","/assets/catalog/item-188.png","","","",""
"B01","120 B01 LD Clear 11x19, 1.25Mil, NW8.00lbs","bags-can-liners","Bags & Can Liners","460pcs","14.00","/assets/catalog/item-189.png","","","",""
"B02","B02 LD Clear 11x14, 1.25Mil, NW8.00lbs","bags-can-liners","Bags & Can Liners","620pcs","14.00","/assets/catalog/item-190.png","","","",""
"B05","B05 HD Clear 11x14, 12Mic, NW8.00lbs","bags-can-liners","Bags & Can Liners","3600pcs","17.00","/assets/catalog/item-191.png","","","",""
"4003","13 Gallons Trash Bags 24""×24""1.6MIL","bags-can-liners","Bags & Can Liners","500BAG S/PCS","30.00","/assets/catalog/item-192.png","","","",""
"HRV242 406N","8-10 Gallon HDPE Can Liner 24"" x 24"" 6 MIC Natural","bags-can-liners","Bags & Can Liners","50Bags/Roll 20Rolls/Ctn","16.00","/assets/catalog/item-193.png","","","",""
"HRV307 10N","20-30 Gallon HDPE Can Liner 30"" x 37"" 10 MIC Natural","bags-can-liners","Bags & Can Liners","25Bags/Roll 20Rolls/Ctn","25.00","/assets/catalog/item-194.png","","","",""
"C23","13 Gallons Trash Bags 24""×32""0.8 MIL","bags-can-liners","Bags & Can Liners","500BAG S/PCS","30.00","/assets/catalog/item-195.png","","","",""
"C35","33 Gallons Trash Bags 33""×39""1.3 MIL","bags-can-liners","Bags & Can Liners","200BAG S/PCS","32.00","/assets/catalog/item-196.png","","","",""
"A92","45 Gallons Trash Bags 40''×46''1.5 MIL","bags-can-liners","Bags & Can Liners","100BAG S/PCS","26.00","/assets/catalog/item-197.png","","","",""
"C36","55 Gallons Trash Bags 36""×58"" 1.5 MIL","bags-can-liners","Bags & Can Liners","100BAG S/PCS","28.00","/assets/catalog/item-198.png","","","",""
"CL-182000","Food Service Cling Wrap with Serrated Cutter 18""×2000'","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","1 ROLL/CTN","18.00","/assets/catalog/item-206.png","","","",""
"CL-242000","Food Service Cling Wrap with Serrated Cutter 24""×2000'","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","1 ROLL/CTN","23.00","/assets/catalog/item-207.png","","","",""
"9""ALUMINUM SHEET","9”X10.75""X12mic 500 Sheets in a Box 6 Boxes per Carton 450*250*200mm","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","6 boxes","77.00","/assets/catalog/item-208.png","","","",""
"12""ALUM INUM SHEET","12”X10.75""X13mic 500 Sheets in a Box 6 Boxes per Carton 455*330*200mm","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","6 boxes","87.00","/assets/catalog/item-209.png","","","",""
"18500HD","18""X500' Aluminum Foil Roll 19mic (Heavy Duty)","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","1ROLL/BOX","28.00","/assets/catalog/item-210.png","","","",""
"121000S","12” x 1000’ Aluminum Foil Roll 16mic","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","1ROLL/BOX","28.00","/assets/catalog/item-211.png","","","",""
"HALF-S","Half Steam Shallow Pan (40Gague) Top Out: 322*262 Top in : 298*238 Base : 260*200 Height : 42","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","100 PCS","","/assets/catalog/item-212.png","","","",""
"HALF-M","Half Steam Medium Pan (40Gague) Top Out: 322*262 Top in : 298*238Base : 260*200 Height : 50","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","100 PCS","40.00","/assets/catalog/item-213.png","","","",""
"HALF-L","Half Steam Deep Pan (40Gague) Top Out: 322*262 Top in : 298*238 Base : 260*200 Height : 60","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","100 PCS","41.00","/assets/catalog/item-214.png","","","",""
"HALF-LID","Half Steam Foil Lid Top Out: 341*279 Height : 15","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","100 PCS","20.00","/assets/catalog/item-215.png","","","",""
"FULL-S","Full Steam Shallow Pan","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","50 PCS","","/assets/catalog/item-216.png","","","",""
"FULL-M","Full Steam Medium Pan (54Gague) Top Out: 523*327 Top in : 493*297Base : 452*253 Height : 81","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","50 PCS","","/assets/catalog/item-217.png","","","",""
"FULL-L","Full Steam Deep Pan (70Gague) Top Out: 523*327 Top in : 493*297Base : 452*253 Height : 81","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","50 PCS","","/assets/catalog/item-218.png","","","",""
"FULL-LID","Full Steam Foil Lid Top Out: 536*340 Height : 19","foil-wrap-steam-pans","Foil, Wrap & Steam Pans","50 PCS","","/assets/catalog/item-219.png","","","",""
"RI-12DC","12 oz Clear Deli Container (117mm) (PET)","deli-containers-lids","Deli Containers & Lids","500PCS","41.00","/assets/catalog/item-220.png","","","",""
"RI-16DC","16 oz Clear Deli Container (117mm) (PET)","deli-containers-lids","Deli Containers & Lids","500PCS","47.00","/assets/catalog/item-221.png","","","",""
"RI-DCDL117","Insert Lids for 8 oz 12 oz 16 oz 24 oz 32 oz Deli Contianer (117mm) (PET)","deli-containers-lids","Deli Containers & Lids","500PCS","25.00","/assets/catalog/item-222.png","","","",""
"LS-HRC-08C","8OZ PET Hinged Rectangular Container","deli-containers-lids","Deli Containers & Lids","200PCS","21.00","/assets/catalog/item-223.png","","","",""
"LS-HRC-12C","12OZ PET Hinged Rectangular Container","deli-containers-lids","Deli Containers & Lids","200PCS","24.00","/assets/catalog/item-224.png","","","",""
"LS-HRC-16C","16OZ PET Hinged Rectangular Container","deli-containers-lids","Deli Containers & Lids","200PCS","27.00","/assets/catalog/item-225.png","","","",""
"LS-HRC-24C","24OZ PET Hinged Rectangular Container","deli-containers-lids","Deli Containers & Lids","200PCS","37.00","/assets/catalog/item-226.png","","","",""
"WH-DC08","8 oz Clear Deli Container (PP)","deli-containers-lids","Deli Containers & Lids","500PCS","25.00","/assets/catalog/item-227.png","","","",""
"WH-DC12","12 oz Clear Deli Container (PP)","deli-containers-lids","Deli Containers & Lids","500PCS","29.00","/assets/catalog/item-228.png","","","",""
"WH-DC16","16 oz Clear Deli Container (PP)","deli-containers-lids","Deli Containers & Lids","500PCS","33.00","/assets/catalog/item-229.png","","","",""
"WH-DC24","24 oz Clear Deli Container (PP)","deli-containers-lids","Deli Containers & Lids","500PCS","40.00","/assets/catalog/item-230.png","","","",""
"WH-DC32","32 oz Clear Deli Container (PP)","deli-containers-lids","Deli Containers & Lids","500PCS","45.00","/assets/catalog/item-231.png","","","",""
"WH-DCL117","Clear Lids for 8OZ 12OZ 16OZ 24OZ 32OZ Deli Contianer (PP)","deli-containers-lids","Deli Containers & Lids","500PCS","22.00","/assets/catalog/item-232.png","","","",""
